78578,14,13,13
13114,11,17,20
220468,25,22,22
44648,13,13,17
127854,13,13,5
197896,17,17,13
166209,6,6,5
56511,21,16,21
39024,13,13,9
11629,18,15,21
14414,13,13,13
66847,13,13,13
15823,13,13,13
12058,13,12,13
90945,18,23,15
66227,21,21,21
198457,14,18,6
11705,13,13,13
235187,15,14,11
154103,13,13,13
94426,13,13,13
196355,13,13,13
160343,13,13,17
37472,21,13,16
22232,13,13,13
139634,13,13,17
214212,22,13,16
94965,18,22,13
219548,1,1,8
4357,17,13,13
3733,21,10,22
91142,13,15,13
235810,9,11,5
119690,11,5,9
95109,17,19,21
113099,13,13,20
184454,5,13,13
161507,13,14,20
129189,16,17,13
45157,17,11,21
225030,13,13,13
64184,13,13,13
95326,9,7,6
2598,5,10,9
65744,13,13,15
58706,20,15,13
57826,17,13,17
182235,3,5,5
175012,13,13,14
201002,5,19,8
31326,13,13,13
185305,5,9,5
107471,11,9,7
223598,7,8,5
216472,18,6,8
84147,19,9,13
178056,9,9,11
122961,17,17,14
218949,5,9,2
57399,16,13,13
168761,2,11,9
87525,13,17,13
67731,23,24,23
131950,13,4,7
59556,13,19,17
23457,9,17,18
1040,11,12,9
154836,13,13,9
83987,17,21,21
176068,13,13,13
50083,12,13,9
42599,16,13,16
59654,15,17,9
217247,13,13,13
163196,9,5,9
71272,13,13,9
55585,13,13,5
155357,13,13,13
44827,17,20,21
104692,18,20,17
64427,13,13,20
133244,14,13,18
6004,5,13,13
17461,18,13,13
163756,7,9,8
212066,21,21,21
28465,5,5,11
105290,9,14,7
192768,12,13,13
230,21,25,21
139015,17,21,17
51013,16,13,17
41197,18,9,9
108082,13,13,15
1022,16,16,13
143953,13,13,13
181656,12,9,9
56447,13,13,13
233727,23,17,17
117588,20,5,9
128213,13,13,13
222989,21,5,9
12822,17,18,21
41843,21,17,21
106875,18,17,21
155350,13,5,3
196746,1,25,8
228963,9,9,13
75485,18,14,13
94283,20,21,20
12545,13,13,13
54639,13,13,13
155080,15,13,13
187662,13,13,13
183260,13,13,14
132592,13,13,13
63825,19,20,21
190250,13,13,15
184527,13,13,13
224580,13,13,13
68524,13,13,13
56895,13,13,20
83393,13,13,13
196102,13,17,13
70401,9,6,9
19291,21,13,20
153975,13,10,9
211737,9,12,9
114556,17,13,25
188504,13,13,13
228369,13,13,13
71043,21,21,19
49935,17,21,17
125782,13,13,13
153482,13,7,9
143654,15,13,13
5309,13,13,17
35043,13,13,13
118018,25,24,25
171152,11,5,13
217926,5,13,7
219630,13,13,13
69102,13,13,9
171108,13,11,13
168688,16,21,21
174052,13,9,20
77582,13,13,14
49194,21,21,13
1626,19,19,17
198562,8,10,5
198,9,11,10
21130,17,13,25
168262,13,13,13
147918,15,12,17
226478,19,21,24
120411,13,11,9
197631,13,13,13
197853,5,4,9
65008,13,13,13
87176,13,13,13
177727,10,5,16
185000,6,1,6
12273,13,4,5
181289,7,17,9
17277,13,13,13
201817,13,13,13
68222,25,21,24
217357,5,5,11
9389,10,13,10
162882,13,17,17
34531,13,13,13
97028,21,20,21
67498,21,20,21
159192,13,13,13
9756,2,9,21
168895,17,14,5
76121,13,13,13
68617,13,13,13
17102,13,13,13
131183,17,21,21
62686,13,13,13
238369,6,1,5
210196,9,9,11
30844,24,19,17
185740,4,6,5
18465,13,21,13
4070,16,17,13
198121,13,13,13
10532,18,18,20
101949,16,21,13
161840,11,13,13
6068,5,10,7
120609,19,16,13
236150,13,9,13
9574,6,9,5
16971,13,13,13
190328,13,13,18
209259,13,13,9
5164,12,17,14
196040,19,16,17
149830,13,13,13
13472,15,13,19
41576,17,21,21
128607,17,16,13
73293,21,21,21
148966,5,12,5
123490,13,13,15
85336,17,6,13
159579,13,13,13
120031,13,13,20
167927,13,13,13
215653,13,13,13
173335,13,13,13
136206,17,17,17
236573,13,18,9
89364,13,13,13
180713,6,2,2
141089,12,11,5
218503,19,21,20
118238,13,12,17
15133,17,17,17
82880,13,13,13
55570,13,13,13
151475,13,9,16
125251,13,14,13
5083,17,21,17
152712,9,2,6
117910,15,13,13
128048,13,13,10
31297,13,11,17
128738,13,13,13
215313,7,13,8
224408,9,17,9
147874,13,13,13
34975,13,12,13
35791,13,22,13
25064,13,13,13
209184,13,13,13
156129,13,13,13
55880,13,12,10
60196,13,17,12
196369,5,5,6
10851,16,17,13
59402,13,24,17
31881,19,24,16
50281,15,18,14
101169,18,17,13
192729,13,7,13
198271,5,5,13
58829,13,13,13
83382,13,19,15
62568,21,17,25
65398,13,13,13
123596,13,16,13
91316,13,13,13
188946,9,11,9
45111,25,21,3
162307,18,13,18
109561,13,14,13
112981,13,13,13
219801,13,13,13
36162,22,21,22
65406,21,17,21
227578,13,13,13
6396,13,13,17
197012,5,13,17
178935,5,7,7
81158,13,15,19
148596,9,1,13
196178,13,13,13
83731,13,13,13
235944,13,15,17
144466,11,4,4
77850,13,13,13
90365,13,21,18
37912,13,13,5
24854,13,13,19
218295,6,9,5
73759,17,21,21
106453,18,21,9
76495,19,8,10
11461,13,13,13
230875,13,13,10
12970,1,10,10
17045,13,13,15
217838,18,16,5
222143,13,13,17
198133,12,13,16
172102,13,9,11
218464,13,13,13
156879,8,5,13
100696,17,20,20
86031,13,21,12
187718,13,13,13
42972,13,13,18
155079,13,13,13
88481,13,13,13
163701,5,9,9
135428,13,13,24
18988,5,6,5
48897,15,13,15
211126,13,13,13
48930,15,19,21
71696,21,24,21
153037,13,13,14
182659,5,5,1
23566,25,25,17
199732,13,13,13
110429,5,13,12
10020,17,17,21
117303,13,13,13
129015,20,13,13
181342,5,6,17
22857,19,25,23
160755,18,19,11
206600,15,17,9
145783,5,9,9
169183,8,9,13
129758,6,9,13
64568,13,8,13
52546,14,13,17
10871,17,14,17
2476,13,13,15
128033,13,13,18
27342,13,13,13
98173,9,5,5
173639,11,13,9
159155,13,13,14
231291,13,13,18
105511,13,13,13
140457,13,15,13
38158,13,13,13
14316,13,13,13
141546,13,12,13
222744,9,7,9
145732,9,7,9
44498,23,21,25
165744,13,13,13
158811,5,9,9
38681,5,10,9
75050,13,17,9
174032,5,5,9
215508,19,18,13
41708,13,13,13
37835,10,2,9
104756,21,19,21
161836,16,22,17
111195,21,22,23
82514,9,9,9
172877,5,5,6
121734,21,18,12
49369,13,13,13
155758,5,10,5
183596,5,8,5
15976,16,21,13
119120,19,17,21
52685,13,13,13
126615,18,13,21
190978,5,17,9
83686,22,21,20
172326,21,13,21
90647,17,17,21
151385,13,12,7
115347,4,20,7
4132,19,16,13
119006,16,9,10
94099,16,21,13
